ID,taxonomia,regional_boticario,uf,praca,Clustes exibidores,exibidores,Cluster formato,formato,estatico,digital,range_minimo,range_maximo,quantidade,periodicidade,s1,s2,s3,s4,flight,unitario_bruto_tabela,desconto,unitario_bruto_negociado,total_bruto_negociado
952,ouro produto,nordeste,ce,fortaleza,Eletromidia,Eletromidia/URB,MUB,Abrigo Mubi,0,1,7,20,15,Semanal,15,0,15,0,2,"3289,00","0,61","1282,71","38481,30"
953,ouro produto,nordeste,ce,fortaleza,JCDecaux,JcDecaux,MUB,Relogio/Mup,0,1,7,20,10,Semanal,10,0,0,0,1,"3255,00","0,43","1855,35","18553,50"
954,ouro produto,nordeste,ce,fortaleza,JCDecaux,JcDecaux,MUB,Relogio/Mup,1,0,7,20,12,Semanal,0,12,12,0,2,"2082,02","0,70","624,61","14990,54"
955,ouro produto,nordeste,ce,fortaleza,Bigdoor,Bigdooh,Front,Painel Led,0,1,2,5,2,Semanal,0,0,2,0,1,"16500,00","0,25","12375,00","24750,00"
956,ouro produto,nordeste,ce,fortaleza,Bigdoor,Empresas outdoor,Outdoor,Outdoor lonado,1,0,7,22,21,Bi-semanal,21,0,0,0,1,"2100,00","0,33","1407,00","29547,00"
957,ouro produto,nordeste,ce,fortaleza,Eletromidia,Construmidia,Empena,Empena Estática,1,0,1,3,2,Mensal,2,0,0,0,1,"35000,00","0,50","17500,00","35000,00"
958,ouro produto,nordeste,ce,fortaleza,Eletromidia,Construmidia,Front,Frontlight,1,0,1,4,2,Bi-semanal,2,0,0,0,1,"16000,00","0,35","10400,00","20800,00"
959,ouro promo,nordeste,ce,fortaleza,Eletromidia,Eletromidia/URB,MUB,Abrigo Mubi,0,1,7,20,20,Semanal,20,0,0,0,1,"3289,00","0,61","1282,71","25654,20"
960,ouro promo,nordeste,ce,fortaleza,JCDecaux,JcDecaux,MUB,Relogio/Mup,0,1,7,20,20,Semanal,20,0,20,0,2,"3255,00","0,43","1855,35","74214,00"
961,ouro promo,nordeste,ce,fortaleza,Bigdoor,Bigdooh,Front,Painel Led,0,1,2,5,3,Semanal,0,3,0,0,1,"16500,00","0,25","12375,00","37125,00"
962,ouro promo,nordeste,ce,fortaleza,Bigdoor,Empresas Outdoor,Outdoor,Outdoor lonado,1,0,7,22,12,Bi-semanal,12,0,0,0,1,"2100,00","0,33","1407,00","16884,00"
963,ouro promo,nordeste,ce,fortaleza,Outros,Rota,Busdoor,Backbus,1,0,10,22,20,Mensal,20,0,0,0,1,"2500,00","0,60","1000,00","20000,00"
964,ouro promo,nordeste,ce,fortaleza,Carrega+,Carrega+,Busdoor,Backseat,1,0,7,20,10,Mensal,10,0,0,0,1,"3000,00","0,80","600,00","6000,00"
965,prata,nordeste,ce,fortaleza,Eletromidia,Eletromidia/URB,MUB,Abrigo Mubi,0,1,5,15,5/15,Semanal,7,0,7,0,2,"3289,00","0,61","1282,71",#VALUE!
966,prata,nordeste,ce,fortaleza,JCDecaux,JcDecaux,MUB,Relogio/Mup,0,1,5,15,5/15,Semanal,8,0,8,0,2,"3255,00","0,43","1855,35",#VALUE!
967,prata,nordeste,ce,fortaleza,JCDecaux,JcDecaux,MUB,Relogio/Mup,1,0,5,15,5/15,Semanal,15,15,0,0,2,"2082,02","0,70","624,61",#VALUE!
968,prata,nordeste,ce,fortaleza,Bigdoor,Bigdooh,Front,Painel Led,0,1,1,3,1/3,Semanal,0,0,1,0,1,"16500,00","0,25","12375,00","570264750,00"
969,prata,nordeste,ce,fortaleza,Bigdoor,Empresas Outdoor,Outdoor,Outdoor papel,1,0,5,15,5/15,Bi-semanal,10,0,0,0,1,"1800,00","0,33","1206,00",#VALUE!
970,prata,nordeste,ce,fortaleza,Outros,Rota,Busdoor,Backbus,1,0,7,17,7/17,Mensal,17,0,0,0,1,"2500,00","0,60","1000,00",#VALUE!
971,prata,nordeste,ce,fortaleza,Bigdoor,Bigdooh,Front,Frontlight,1,0,1,3,1/3,Bi-semanal,3,0,3,0,2,"16000,00","0,35","10400,00","958505600,00"
972,data produto,nordeste,ba,salvador,Bigdoor,Linhares,Outdoor,Outdoor  Lonado,1,0,12,23,12,Bisemanal,0,0,12,0,1,"5627,00","0,10","5064,30","60771,60"
973,data produto,nordeste,ba,salvador,Bigdoor,Linhares,Front,Painel Led,0,1,8,15,2,Mensal,2,0,0,0,1,"15600,00","0,05","14820,00","29640,00"
974,data produto,nordeste,ba,salvador,Bigdoor,Linhares,Front,Frontlight,1,0,4,8,4,Bisemanal,4,0,0,0,1,"21500,00","0,20","17200,00","68800,00"
975,data produto,nordeste,ba,salvador,Bigdoor,Rede Outlight,MUB,MUP,0,1,10,10,1,Bisemanal,0,0,10,0,1,"80000,00","0,10","72000,00","72000,00"
976,data produto,nordeste,ba,salvador,Bigdoor,Impacto,Outdoor,Outdoor  Papel,1,0,12,23,20,Bisemanal,20,0,0,0,1,"5627,00","0,10","5064,30","101286,00"
977,data produto,nordeste,ba,salvador,Outros,Rota 99,Empena,Empena,1,0,3,7,1,Mensal,1,0,0,0,1,"110000,00","0,55","49500,00","49500,00"
978,data produto,nordeste,ba,salvador,Outros,Way,Front,Painel Led,0,1,8,15,3,Semanal,3,0,3,0,2,"9100,00","0,70","2730,00","16380,00"
979,data produto,nordeste,ba,salvador,Outros,Imagem,Front,Painel Led,0,1,8,15,2,Bisemanal,2,0,0,0,1,"18480,00","0,35","12012,00","24024,00"
980,data produto,nordeste,ba,salvador,Outros,Mural,Front,Frontlight,1,0,4,8,3,Mensal,3,0,0,0,1,"29625,00","0,35","19256,25","57768,75"
981,data produto,nordeste,ba,salvador,Eletromidia,Central de Midia Salvador,Front,Painel Led,0,1,8,15,3,Mensal,3,0,0,0,1,"12600,00","0,60","5040,00","15120,00"
982,data produto,nordeste,ba,salvador,Outros,Kallas,Empena,Empena,1,0,3,7,1,Mensal,1,0,0,0,1,"35000,00","0,20","28000,00","28000,00"
983,data produto,nordeste,ba,salvador,Outros,Kallas,Empena,Empena,1,0,3,7,1,Mensal,1,0,0,0,1,"43000,00","0,20","34400,00","34400,00"
984,data produto,nordeste,ba,salvador,JCDecaux,JCDecaux,Front,Pacote Full -L2 ,0,1,63,63,1,Semanal,0,63,0,0,1,"90935,46","0,43","51833,21","51833,21"
985,data produto,nordeste,ba,salvador,Bigdoor,Impacto,Empena,Empena,1,0,3,7,1,Mensal,1,0,0,0,1,"38000,00","0,30","26600,00","26600,00"
986,data promo,nordeste,ba,salvador,Bigdoor,Linhares,Outdoor,Outdoor  Lonado,1,0,12,23,19,Bisemanal,0,0,19,0,1,"5627,00","0,10","5064,30","96221,70"
987,data promo,nordeste,ba,salvador,Bigdoor,Linhares,Front,Painel Led,0,1,8,15,2,Mensal,2,0,0,0,1,"15600,00","0,05","14820,00","29640,00"
988,data promo,nordeste,ba,salvador,Bigdoor,Linhares,Front,Frontlight,1,0,4,8,3,Mensal,3,0,0,0,1,"21500,00","0,20","17200,00","51600,00"
989,data promo,nordeste,ba,salvador,Bigdoor,Rede Outlight,MUB,MUP,0,1,10,10,1,Bisemanal,0,0,10,0,1,"80000,00","0,10","72000,00","72000,00"
990,data promo,nordeste,ba,salvador,Bigdoor,Impacto,Outdoor,Outdoor  Lonado,1,0,12,23,30,Bisemanal,30,0,0,0,1,"5627,00","0,10","5064,30","151929,00"
991,data promo,nordeste,ba,salvador,Outros,Way,Front,Painel Led,0,1,8,15,3,Semanal,3,0,3,0,2,"9100,00","0,70","2730,00","16380,00"
992,data promo,nordeste,ba,salvador,Outros,Imagem,Front,Painel Led,0,1,8,15,2,Bisemanal,2,0,0,0,1,"18480,00","0,35","12012,00","24024,00"
993,data promo,nordeste,ba,salvador,Outros,Mural,Front,Frontlight,1,0,4,8,2,Mensal,2,0,0,0,1,"29625,00","0,35","19256,25","38512,50"
994,data promo,nordeste,ba,salvador,Eletromidia,Central de Midia Salvador,Front,Painel Led,0,1,8,15,2,Mensal,2,0,0,0,1,"12600,00","0,60","5040,00","10080,00"
995,data promo,nordeste,ba,salvador,JCDecaux,JCDecaux,Front,Pacote Full -L2 ,0,1,63,63,1,Semanal,0,63,0,0,1,"90935,46","0,43","51833,21","51833,21"
996,data promo,nordeste,ba,salvador,Outros,Midia Bus,Busdoor,BackBus,1,0,10,20,20,Mensal,20,0,0,0,1,"10350,00","0,80","2070,00","41400,00"
997,data promo,nordeste,ba,salvador,Outros,Midia Bus,Busdoor,Backseat,1,0,15,30,20,Mensal,20,0,0,0,1,"3308,00","0,75","827,00","16540,00"
998,data promo,nordeste,ba,salvador,Outros,Rota 66,Front,Painel de Estrada,1,0,1,3,3,Mensal,3,0,0,0,1,"19000,00","0,45","10450,00","31350,00"
999,ouro produto,nordeste,ba,salvador,Bigdoor,Linhares,Outdoor,Outdoor  Papel,1,0,10,20,10,Bisemanal,0,10,0,0,1,"5100,00","0,15","4335,00","43350,00"
1000,ouro produto,nordeste,ba,salvador,Bigdoor,Linhares,Front,Painel Led,0,1,5,10,2,Mensal,2,0,0,0,1,"15600,00","0,05","14820,00","29640,00"
1001,ouro produto,nordeste,ba,salvador,Bigdoor,Linhares,Front,Frontlight,1,0,3,7,2,Bisemanal,2,0,0,0,1,"21500,00","0,20","17200,00","34400,00"
1002,ouro produto,nordeste,ba,salvador,Bigdoor,Rede Outlight,MUB,MUP,0,1,10,10,1,Bisemanal,0,10,0,0,1,"80000,00","0,10","72000,00","72000,00"
1003,ouro produto,nordeste,ba,salvador,Bigdoor,Impacto,Outdoor,Outdoor  Papel,1,0,10,20,15,Bisemanal,15,0,0,0,1,"5124,00","0,15","4355,40","65331,00"
1004,ouro produto,nordeste,ba,salvador,Outros,Rota 99,Empena,Empena,1,0,2,4,1,Mensal,1,0,0,0,1,"110000,00","0,55","49500,00","49500,00"
1005,ouro produto,nordeste,ba,salvador,Outros,Way,Front,Painel Led,0,1,5,10,3,Semanal,3,3,0,0,2,"9100,00","0,70","2730,00","16380,00"
1006,ouro produto,nordeste,ba,salvador,Outros,Mural,Front,Frontlight,1,0,3,7,3,Mensal,3,0,0,0,1,"29625,00","0,35","19256,25","57768,75"
1007,ouro produto,nordeste,ba,salvador,Eletromidia,Central de Midia Salvador,Front,Painel Led,0,1,5,10,1,Mensal,1,0,0,0,1,"12600,00","0,60","5040,00","5040,00"
1008,ouro produto,nordeste,ba,salvador,Outros,Kallas,Empena,Empena,1,0,2,4,1,Mensal,1,0,0,0,1,"35000,00","0,20","28000,00","28000,00"
1009,ouro produto,nordeste,ba,salvador,Bigdoor,Impacto,Empena,Empena,1,0,2,4,1,Mensal,1,0,0,0,1,"38000,00","0,30","26600,00","26600,00"
1010,ouro promo,nordeste,ba,salvador,Bigdoor,Linhares,Front,Painel Led,0,1,4,7,2,Mensal,2,0,0,0,1,"15600,00","0,05","14820,00","29640,00"
1011,ouro promo,nordeste,ba,salvador,Bigdoor,Linhares,Front,Frontlight,1,0,2,4,3,Mensal,3,0,0,0,1,"21500,00","0,20","17200,00","51600,00"
1012,ouro promo,nordeste,ba,salvador,Bigdoor,Rede Outlight,MUB,MUP,1,0,10,10,1,Bisemanal,0,10,0,0,1,"80000,00","0,10","72000,00","72000,00"
1013,ouro promo,nordeste,ba,salvador,Bigdoor,Impacto,Outdoor,Outdoor  Papel,1,0,10,20,20,Bisemanal,20,0,0,0,1,"5124,00","0,15","4355,40","87108,00"
1014,ouro promo,nordeste,ba,salvador,Outros,Way,Front,Painel Led,0,1,4,7,2,Semanal,2,0,2,0,2,"9100,00","0,70","2730,00","10920,00"
1015,ouro promo,nordeste,ba,salvador,Outros,Imagem,Front,Painel Led,0,1,4,7,2,Bisemanal,2,0,0,0,1,"18480,00","0,35","12012,00","24024,00"
1016,ouro promo,nordeste,ba,salvador,Outros,Mural,Front,Frontlight,1,0,2,4,1,Mensal,1,0,0,0,1,"29625,00","0,35","19256,25","19256,25"
1017,ouro promo,nordeste,ba,salvador,Eletromidia,Central de Midia Salvador,Front,Painel Led,0,1,4,7,2,Mensal,2,0,0,0,1,"12600,00","0,60","5040,00","10080,00"
1018,ouro promo,nordeste,ba,salvador,JCDecaux,JCDecaux,Front,Pacote Full -L2 ,0,1,63,63,1,Semanal,0,63,0,0,1,"90935,46","0,43","51833,21","51833,21"
1019,ouro promo,nordeste,ba,salvador,Outros,Midia Bus,Busdoor,BackBus,1,0,10,20,25,Mensal,25,0,0,0,1,"10350,00","0,80","2070,00","51750,00"
1020,ouro promo,nordeste,ba,salvador,Outros,Rota 66,Front,Painel de Estrada,1,0,1,2,2,Mensal,2,0,0,0,1,"19000,00","0,45","10450,00","20900,00"
1021,data produto,sul,sc,florianópolis,Outros,Criativa Painéis,Front,Frontlight,1,0,3,7,2,Mensal,2,0,0,0,1,"21600,00","0,45","11880,00","23760,00"
1022,data produto,sul,sc,florianópolis,Outros,Criativa Painéis,Empena,Empena,1,0,1,4,1,Mensal,1,0,0,0,1,"33075,00","0,45","18191,25","18191,25"
1023,data produto,sul,sc,florianópolis,Outros,Criativa Painéis,Front,Painel Led,0,1,4,9,3,Mensal,3,0,0,0,1,"15900,00","0,30","11130,00","33390,00"
1024,data produto,sul,sc,florianópolis,Outros,Sinergy,MUB,Mub - Relogios,0,1,30,30,1,Bi-semanal,30,0,0,0,1,"52500,00","0,45","28875,00","28875,00"
1025,data produto,sul,sc,florianópolis,Outros,Sinergy,Front,Painel Led,0,1,4,9,1,Semanal,0,0,1,1,2,"20800,00","0,45","11440,00","22880,00"
1026,data produto,sul,sc,florianópolis,Outros,Sinergy,MUB,Mub - Relogios,1,0,20,50,1,Bi-semanal,0,0,30,0,1,"69000,00","0,45","37950,00","37950,00"
1027,data produto,sul,sc,florianópolis,Outros,Ponto Z,Front,Painel Led,0,1,4,9,4,Bi-semanal,4,0,0,0,1,"37201,00","0,84","6138,17","24552,66"
1028,data produto,sul,sc,florianópolis,Outros,Kallas,MUB,Mub - Abrigos,1,0,4,9,1,Semanal,0,0,60,0,1,"51600,00","0,45","28380,00","28380,00"
1029,data promo,sul,sc,florianópolis,Outros,Criativa Painéis,Front,Frontlight,1,0,2,7,2,Mensal,2,0,0,0,1,"21600,00","0,45","11880,00","23760,00"
1030,data promo,sul,sc,florianópolis,Outros,Criativa Painéis,Front,Painel Led,0,1,4,9,3,Mensal,3,0,0,0,1,"15900,00","0,30","11130,00","33390,00"
1031,data promo,sul,sc,florianópolis,Outros,Sinergy,MUB,Mub - Relogios,0,1,30,30,1,Bi-semanal,30,0,0,0,1,"52500,00","0,45","28875,00","28875,00"
1032,data promo,sul,sc,florianópolis,Outros,Sinergy,Front,Painel Led,0,1,4,9,1,Semanal,0,0,1,1,2,"20800,00","0,45","11440,00","22880,00"
1033,data promo,sul,sc,florianópolis,Outros,Sinergy,MUB,Mub - Relogios,1,0,30,30,1,Bi-semanal,0,0,30,0,1,"69000,00","0,45","37950,00","37950,00"
1034,data promo,sul,sc,florianópolis,Outros,Ponto Z,Front,Painel Led,0,1,4,9,3,Bi-semanal,3,0,0,0,1,"37201,00","0,84","6138,17","18414,50"
1035,data promo,sul,sc,florianópolis,Outros,Kallas,MUB,Mub - Abrigos,1,0,60,60,1,Semanal,0,0,60,0,1,"51600,00","0,45","28380,00","28380,00"
1036,data promo,sul,sc,florianópolis,Outros,Kallas,MUB,Placas de Rua,1,0,70,70,1,Semanal,70,70,0,0,2,"25200,00","0,45","13860,00","27720,00"
1037,ouro produto,sul,sc,florianópolis,Outros,Criativa Painéis,Front,Frontlight,1,0,2,5,3,Mensal,3,0,0,0,1,"21600,00","0,45","11880,00","35640,00"
1038,ouro produto,sul,sc,florianópolis,Outros,Criativa Painéis,Front,Painel Led,0,1,4,9,3,Mensal,3,0,0,0,1,"15900,00","0,30","11130,00","33390,00"
1039,ouro produto,sul,sc,florianópolis,Outros,Sinergy,MUB,Mub - Relogios,0,1,30,30,1,Bi-semanal,30,0,0,0,1,"52500,00","0,45","28875,00","28875,00"
1040,ouro produto,sul,sc,florianópolis,Outros,Sinergy,Front,Painel Led,0,1,4,9,1,Semanal,0,1,0,0,1,"20800,00","0,45","11440,00","11440,00"
1041,ouro produto,sul,sc,florianópolis,Outros,Sinergy,MUB,Mub - Relogios,1,0,20,50,1,Bi-semanal,30,0,0,0,1,"69000,00","0,45","37950,00","37950,00"
1042,ouro produto,sul,sc,florianópolis,Outros,Ponto Z,Front,Painel Led,0,1,4,9,5,Bi-semanal,5,0,0,0,1,"37201,00","0,84","6138,17","30690,83"
1043,ouro produto,sul,sc,florianópolis,Outros,Kallas,MUB,Mub - Abrigos,1,0,4,9,1,Semanal,0,0,60,0,1,"51600,00","0,45","28380,00","28380,00"
1044,ouro promo,sul,sc,florianópolis,Outros,Criativa Painéis,Front,Frontlight,1,0,2,5,1,Mensal,2,0,0,0,1,"21600,00","0,45","11880,00","11880,00"
1045,ouro promo,sul,sc,florianópolis,Outros,Criativa Painéis,Front,Painel Led,0,1,4,9,1,Mensal,2,0,0,0,1,"15900,00","0,30","11130,00","11130,00"
1046,ouro promo,sul,sc,florianópolis,Outros,Sinergy,MUB,Mub - Relogios,0,1,30,30,1,Bi-semanal,30,0,0,0,1,"52500,00","0,45","28875,00","28875,00"
1047,ouro promo,sul,sc,florianópolis,Outros,Sinergy,Front,Painel Led,0,1,4,9,1,Semanal,0,1,0,0,1,"20800,00","0,45","11440,00","11440,00"
1048,ouro promo,sul,sc,florianópolis,Outros,Sinergy,MUB,Mub - Relogios,1,0,30,30,1,Bi-semanal,30,0,0,0,1,"69000,00","0,45","37950,00","37950,00"
1049,ouro promo,sul,sc,florianópolis,Outros,Ponto Z,Front,Painel Led,0,1,4,9,1,Bi-semanal,4,0,0,0,1,"37201,00","0,84","6138,17","6138,17"
1050,ouro promo,sul,sc,florianópolis,Outros,Kallas,MUB,Mub - Abrigos,1,0,60,60,1,Semanal,0,0,60,0,1,"51600,00","0,45","28380,00","28380,00"
1051,ouro promo,sul,sc,florianópolis,Outros,Kallas,MUB,Placas de Rua,1,0,70,70,2,Semanal,70,70,0,0,2,"25200,00","0,45","13860,00","55440,00"
1052,prata,sul,sc,florianópolis,Outros,Criativa Painéis,Front,Frontlight,1,0,1,4,2,Mensal,2,0,0,0,1,"21600,00","0,45","11880,00","23760,00"
1053,prata,sul,sc,florianópolis,Outros,Criativa Painéis,Front,Painel Led,0,1,2,5,2,Mensal,2,0,0,0,1,"15900,00","0,30","11130,00","22260,00"
1054,prata,sul,sc,florianópolis,Outros,Sinergy,MUB,Mub - Relogios,0,1,30,30,1,Bi-semanal,30,0,0,0,1,"52500,00","0,45","28875,00","28875,00"
1055,prata,sul,sc,florianópolis,Outros,Sinergy,Front,Painel Led,0,1,2,5,2,Semanal,0,2,0,0,1,"20800,00","0,45","11440,00","22880,00"
1056,prata,sul,sc,florianópolis,Outros,Sinergy,MUB,Mub - Relogios,1,0,30,30,1,Bi-semanal,30,0,0,0,1,"69000,00","0,45","37950,00","37950,00"
1057,data produto e promo,sul,pr,curitiba,Bigdoor,Outdoor Midia,Front,Frontlight,0,1,3,7,4,Mensal,4,0,0,0,1,"19108,00","0,72","5350,24","21400,96"
1058,data produto e promo,sul,pr,curitiba,Bigdoor,Outdoor Midia,Outdoor,Outdoor Iluminado,1,0,10,25,15,Mensal,15,0,0,0,1,"22690,00","0,72","6353,20","95298,00"
1059,data produto e promo,sul,pr,curitiba,Bigdoor,Outdoor Midia,Front,Iconico - Duo Vision,0,1,1,1,1,Mensal,1,0,0,0,1,"25112,00","0,72","7031,36","7031,36"
1060,data produto e promo,sul,pr,curitiba,Bigdoor,Outdoor Midia,MUB,Mub - Bancas e Relogios,0,1,20,40,30,Bi-semanal,30,30,0,0,2,"7463,53","0,72","2089,79","125387,24"
1061,data produto e promo,sul,pr,curitiba,Outros,Sinergy,MUB,Mub - Bancas ,0,1,22,22,1,Semanal,0,0,22,0,1,"63900,00","0,45","35145,00","35145,00"
1062,data produto e promo,sul,pr,curitiba,Outros,RPO,Front,Painel Led,0,1,4,10,4,Mensal,4,0,0,0,1,"4350,00","0,40","2610,00","10440,00"
1063,data produto e promo,sul,pr,curitiba,Outros,Clear,MUB,Mub - Bancas,1,0,100,100,1,Semanal,0,0,100,0,1,"202300,00","0,70","60690,00","60690,00"
1064,data produto e promo,sul,pr,curitiba,Outros,Favretto,Front,Painel Led,0,1,4,10,1,Semanal,10,0,0,0,1,"26220,00","0,55","11799,00","11799,00"
1065,data produto e promo,sul,pr,curitiba,Outros,Favretto,Front,Frontlight,1,0,3,7,2,Mensal,2,0,0,0,1,"12600,00","0,55","5670,00","11340,00"
1066,ouro produto e promo,sul,pr,curitiba,Bigdoor,Outdoor Midia,Outdoor,Outdoor Iluminado,1,0,8,20,12,Mensal,12,0,0,0,1,"22690,00","0,72","6353,20","76238,40"
1067,ouro produto e promo,sul,pr,curitiba,Bigdoor,Outdoor Midia,MUB,Mub - Bancas e Relogios,0,1,15,30,30,Bi-semanal,30,30,0,0,2,"7463,53","0,72","2089,79","125387,24"
1068,ouro produto e promo,sul,pr,curitiba,Outros,Sinergy,MUB,Mub - Bancas ,0,1,15,30,1,Semanal,0,0,22,0,1,"63900,00","0,45","35145,00","35145,00"
1069,ouro produto e promo,sul,pr,curitiba,Outros,RPO,Front,Painel Led,0,1,2,6,2,Mensal,2,0,0,0,1,"4350,00","0,40","2610,00","5220,00"
1070,ouro produto e promo,sul,pr,curitiba,Outros,Clear,MUB,Mub - Bancas,1,0,100,100,1,Semanal,0,0,100,0,1,"202300,00","0,70","60690,00","60690,00"
1071,ouro produto e promo,sul,pr,curitiba,Outros,Favretto,Front,Painel Led,0,1,2,6,1,Semanal,10,0,0,0,1,"26220,00","0,55","11799,00","11799,00"
1072,ouro produto e promo,sul,pr,curitiba,Outros,Favretto,Front,Frontlight,1,0,2,6,2,Mensal,2,0,0,0,1,"12600,00","0,55","5670,00","11340,00"
1073,prata,sul,pr,curitiba,Bigdoor,Outdoor Midia,Outdoor,Outdoor Iluminado,1,0,5,12,2,Mensal,2,0,0,0,1,"22690,00","0,72","6353,20","12706,40"
1074,prata,sul,pr,curitiba,Bigdoor,Outdoor Midia,MUB,Mub - Bancas e Relogios,0,1,10,20,10,Bi-semanal,10,0,0,0,1,"7463,53","0,72","2089,79","20897,87"
1075,prata,sul,pr,curitiba,Outros,Sinergy,MUB,Mub - Bancas ,0,1,10,20,1,Semanal,0,0,22,0,1,"63900,00","0,45","35145,00","35145,00"
1076,prata,sul,pr,curitiba,Outros,Clear,MUB,Mub - Bancas,1,0,100,100,1,Semanal,0,100,0,0,1,"202300,00","0,70","60690,00","60690,00"
1077,prata,sul,pr,curitiba,Outros,Favretto,Front,Painel Led,0,1,2,6,1,Semanal,10,0,0,0,1,"26220,00","0,55","11799,00","11799,00"
1078,data produto,sul,rs,porto alegre,Outros,Ativa,Front,Frontlight,1,0,5,12,2,Mensal,2,0,0,0,1,"20835,00","0,65","7292,25","14584,50"
1079,data produto,sul,rs,porto alegre,Outros,Ativa,Empena,Empena ,1,0,3,6,1,Mensal,1,0,0,0,1,"74550,00","0,65","26092,50","26092,50"
1080,data produto,sul,rs,porto alegre,Eletromidia,H Mídia,Front,Frontlight,1,0,5,12,2,Mensal,2,0,0,0,1,"10000,00","0,42","5800,00","11600,00"
1081,data produto,sul,rs,porto alegre,Eletromidia,H Mídia,Front,Painel de Led,0,1,7,15,3,Quinzenal,2,0,0,0,1,"12511,00","0,69","3878,41","11635,23"
1082,data produto,sul,rs,porto alegre,Outros,Imobi,Empena,Empena ,0,1,2,5,1,Mensal,1,0,0,0,1,"138600,00","0,64","49896,00","49896,00"
1083,data produto,sul,rs,porto alegre,Outros,Imobi,Busdoor,MegaMubs+Bancas,0,1,26,26,1,Semanal,0,25,0,0,1,"65000,00","0,36","41600,00","41600,00"
1084,data produto,sul,rs,porto alegre,Outros,Imobi,Busdoor,Banca de jornal,1,0,10,20,1,Mensal,10,0,0,0,1,"64800,00","0,70","19440,00","19440,00"
1085,data produto,sul,rs,porto alegre,Outros,Clear,MUB,MUB,1,0,50,50,1,Semanal,50,0,0,0,1,"115500,00","0,70","34650,00","34650,00"
1086,data produto,sul,rs,porto alegre,Outros,Sinergy,Busdoor,Banca de jornal,0,1,65,65,1,Semanal,0,0,65,0,1,"92000,00","0,45","50600,00","50600,00"
1087,data produto,sul,rs,porto alegre,Outros,Sinergy,Front,Painel de Led,0,1,7,15,2,Semanal,0,0,0,2,1,"45000,00","0,45","24750,00","49500,00"
1088,data produto,sul,rs,porto alegre,Outros,Sinergy,Front,Frontlight,1,0,5,12,2,Mensal,2,0,0,0,1,"6300,00","0,45","3465,00","6930,00"
1089,data produto,sul,rs,porto alegre,Outros,Sinergy,Empena,Empena ,1,0,3,6,1,Mensal,1,0,0,0,1,"110000,00","0,45","60500,00","60500,00"
1090,data promo,sul,rs,porto alegre,Outros,Ativa,Front,Frontlight,1,0,5,12,2,Mensal,2,0,0,0,1,"20835,00","0,65","7292,25","14584,50"
1091,data promo,sul,rs,porto alegre,Outros,Ativa,Empena,Empena ,1,0,3,6,1,Mensal,1,0,0,0,1,"74550,00","0,65","26092,50","26092,50"
1092,data promo,sul,rs,porto alegre,Eletromidia,H Mídia,Front,Frontlight,1,0,5,12,2,Mensal,2,0,0,0,1,"10000,00","0,42","5800,00","11600,00"
1093,data promo,sul,rs,porto alegre,Eletromidia,H Mídia,Front,Painel de Led,0,1,7,15,3,Quinzenal,2,0,0,0,1,"12511,00","0,69","3878,41","11635,23"
1094,data promo,sul,rs,porto alegre,Outros,Imobi,Empena,Empena ,0,1,2,5,1,Mensal,1,0,0,0,1,"138600,00","0,64","49896,00","49896,00"
1095,data promo,sul,rs,porto alegre,Outros,Imobi,Busdoor,MegaMubs+Bancas,0,1,26,26,1,Semanal,0,26,0,0,1,"65000,00","0,36","41600,00","41600,00"
1096,data promo,sul,rs,porto alegre,Outros,Imobi,Busdoor,Banca de jornal,1,0,10,20,1,Mensal,0,10,0,0,1,"64800,00","0,70","19440,00","19440,00"
1097,data promo,sul,rs,porto alegre,Outros,Clear,MUB,MUB,1,0,50,50,1,Semanal,50,0,0,0,1,"115500,00","0,70","34650,00","34650,00"
1098,data promo,sul,rs,porto alegre,Outros,Sinergy,Busdoor,Banca de jornal,0,1,65,65,1,Semanal,0,0,65,0,1,"92000,00","0,45","50600,00","50600,00"
1099,data promo,sul,rs,porto alegre,Outros,Sinergy,Front,Painel de Led,0,1,7,15,2,Semanal,0,0,0,2,1,"45000,00","0,45","24750,00","49500,00"
1100,data promo,sul,rs,porto alegre,Outros,Sinergy,Front,Frontlight,1,0,5,12,2,Mensal,2,0,0,0,1,"6300,00","0,45","3465,00","6930,00"
1101,data promo,sul,rs,porto alegre,Outros,Sinergy,Empena,Empena ,1,0,3,6,1,Mensal,1,0,0,0,1,"110000,00","0,45","60500,00","60500,00"
1102,ouro produto,sul,rs,porto alegre,Eletromidia,H Mídia,Front,Frontlight,1,0,4,9,2,Mensal,2,0,0,0,1,"10000,00","0,42","5800,00","11600,00"
1103,ouro produto,sul,rs,porto alegre,Eletromidia,H Mídia,Front,Painel de Led,0,1,5,10,2,Quinzenal,2,0,0,0,1,"12511,00","0,69","3878,41","7756,82"
1104,ouro produto,sul,rs,porto alegre,Outros,Imobi,Empena,Empena ,0,1,1,2,1,Mensal,1,0,0,0,1,"138600,00","0,64","49896,00","49896,00"
1105,ouro produto,sul,rs,porto alegre,Outros,Imobi,Busdoor,MegaMubs+Bancas,0,1,26,26,1,Semanal,0,26,0,0,1,"65000,00","0,36","41600,00","41600,00"
1106,ouro produto,sul,rs,porto alegre,Outros,Imobi,Busdoor,Banca de jornal,1,0,8,15,1,Mensal,0,10,0,0,1,"64800,00","0,70","19440,00","19440,00"
