=== RESUMO DOS BLOCOS DE MÍDIA ===
"Mídia","Budget Input","Ciclo (semanas)","UF","Praça","Taxonomia","Exibidores","Formato","Região","Cluster Exibidores","Cluster Formato","Periodicidade","Flight","Digital","Estático","Faces Alocadas","Budget Utilizado","Budget Ideal","Sobrando","Status"
"Mídia 1","R$ 10.000.000,00","1","Tudo","Tudo","Tudo","Tudo","Tudo","norte","Tudo","Tudo","Tudo","Tudo","Não","Não","523","R$ 2.011.768,10","R$ 1.604.647,30","R$ 7.988.231,90","excessive"
"Mídia 2","R$ 1.312.312,00","1","rj","Tudo","Tudo","Tudo","Tudo","Tudo","Tudo","Tudo","Tudo","Tudo","Não","Não","914","R$ 1.311.510,00","R$ 33.748.018,40","R$ 802,00","insufficient"

=== FACES RECOMENDADAS (DETALHADO) ===
"Mídia","Prioridade","Praça","UF","Exibidores","Taxonomia","Formato","Qtd Disponível","Preço Unitário","ROI","Alocado"
"Mídia 1","48","manaus","am","Brasil Midia Exterior","data promo","Frontlight","7","R$ 6.750,00","5.2700","0"
"Mídia 1","49","manaus","am","Bureau Midia OOH","data promo","Frontlight","7","R$ 10.875,00","5.0200","0"
"Mídia 1","50","manaus","am","Bureau Midia OOH","data produto","Painel de Led","2","R$ 1.960,00","4.9500","0"
"Mídia 1","51","rio branco","ac","s2XPromoções","ouro promo","Carro de Som","2","R$ 1.228,80","4.8600","0"
"Mídia 1","52","palmas","to","Tocantis / Apice","data produto","Painel de Led","5","R$ 16.200,00","4.6800","0"
"Mídia 1","53","palmas","to","Tocantis / Apice","data promo","Painel de Led","5","R$ 16.200,00","4.6800","0"
"Mídia 1","54","macapa","ap","Bureau de mídia","ouro promo","Bikedoor","2","R$ 1.240,00","4.6300","0"
"Mídia 1","55","belem","pa","Brasil Midia Exterior","ouro produto","Painel de Led","4","R$ 6.300,00","4.3700","0"
"Mídia 1","56","belem","pa","Brasil Midia Exterior","ouro promo","Painel de Led","4","R$ 6.300,00","4.3700","0"
"Mídia 1","57","manaus","am","Brasil Midia Exterior","ouro produto","Painel de Led","4","R$ 6.300,00","4.3700","0"
